Time,Position/LatitudeDegrees,Position/LongitudeDegrees,AltitudeMeters,DistanceMeters,HeartRateBpm/Value
2021-03-23T11:03:24.000-05:00,41.88491988182068,-87.62918663024902,213.38559999861013,0.0,102
2021-03-23T11:03:29.000-05:00,41.88491988182068,-87.62918663024902,213.3706005401588,0.7300000000000001,102
2021-03-23T11:03:34.000-05:00,41.88491988182068,-87.62918663024902,213.35560108170745,4.17,104
2021-03-23T11:03:39.000-05:00,41.88491988182068,-87.62918663024902,213.34060162325613,10.09,106
2021-03-23T11:03:44.000-05:00,41.88491988182068,-87.62918663024902,213.32560216480482,17.050000000000004,109
2021-03-23T11:03:49.000-05:00,41.88491988182068,-87.62918663024902,213.31060270635348,23.21,105
2021-03-23T11:03:54.000-05:00,41.88491988182068,-87.62918663024902,213.29560324790214,24.25,104
2021-03-23T11:03:59.000-05:00,41.88491988182068,-87.62918663024902,213.28060378945082,25.69,102
2021-03-23T11:04:04.000-05:00,41.88491988182068,-87.62918663024902,213.2656043309995,30.230000000000004,105
2021-03-23T11:04:09.000-05:00,41.88491988182068,-87.62918663024902,213.25060487254817,36.00000000000001,107
2021-03-23T11:04:14.000-05:00,41.88491988182068,-87.62918663024902,213.23560541409682,42.67000000000001,110
2021-03-23T11:04:15.000-05:00,41.88491988182068,-87.62918663024902,213.23260552240657,44.02,105
2021-03-23T11:04:20.000-05:00,41.88491988182068,-87.62901437282562,213.06753290273085,50.760000000000005,104
2021-03-23T11:04:21.000-05:00,41.88491988182068,-87.62897992134094,213.0345183787957,52.03000000000001,105
2021-03-23T11:04:26.000-05:00,41.884978215945395,-87.62890952511837,212.93889594547,58.32,105
2021-03-23T11:04:31.000-05:00,41.88503655007011,-87.6288391288958,212.84327351214432,64.03,105
2021-03-23T11:04:36.000-05:00,41.88509488419483,-87.62876873267324,212.74765107881862,69.93,104
2021-03-23T11:04:41.000-05:00,41.885153218319545,-87.62869833645067,212.65202864549295,75.88000000000001,106
2021-03-23T11:04:46.000-05:00,41.88521155244426,-87.6286279402281,212.55640621216725,81.52000000000001,106
2021-03-23T11:04:51.000-05:00,41.88526988656898,-87.62855754400553,212.46078377884157,87.85000000000001,106
2021-03-23T11:04:56.000-05:00,41.885328220693694,-87.62848714778298,212.36516134551587,94.10000000000001,110
2021-03-23T11:04:59.000-05:00,41.88536322116852,-87.62844491004944,212.30778788552047,97.76000000000002,111
2021-03-23T11:05:00.000-05:00,41.88534498214722,-87.6284248828888,212.25605052651312,99.03,110
2021-03-23T11:05:05.000-05:00,41.88530917520876,-87.628196199735,212.4687985013412,104.78000000000002,106
2021-03-23T11:05:10.000-05:00,41.885273368270305,-87.62796751658121,212.6815464761693,110.87,104
2021-03-23T11:05:15.000-05:00,41.88523756133185,-87.62773883342743,212.8942944509974,117.21000000000001,111
2021-03-23T11:05:20.000-05:00,41.8852017543934,-87.62751015027364,213.1070424258255,123.87,110
2021-03-23T11:05:25.000-05:00,41.885165947454944,-87.62728146711986,213.3197904006536,130.20000000000002,107
2021-03-23T11:05:27.000-05:00,41.885151624679565,-87.62718999385834,213.40488959058484,132.46000000000004,111
2021-03-23T11:05:28.000-05:00,41.885178327560425,-87.62724161148071,213.39659050164255,133.58,114
2021-03-23T11:05:29.000-05:00,41.885159969329834,-87.62724661827087,213.42665561104798,134.70000000000002,115
2021-03-23T11:05:30.000-05:00,41.88513660430908,-87.62723326683044,213.49258333466844,135.92000000000002,114
2021-03-23T11:05:31.000-05:00,41.88512325286865,-87.6272382736206,213.51144488374007,137.14000000000001,114
2021-03-23T11:05:32.000-05:00,41.88510823249817,-87.62722826004028,213.52664557121201,138.35,113
2021-03-23T11:05:33.000-05:00,41.88509166240692,-87.62720990180969,213.57873828967683,139.57,110
2021-03-23T11:05:34.000-05:00,41.88507330417633,-87.62717163562775,213.54457579689128,140.79,106
2021-03-23T11:05:35.000-05:00,41.88506329059601,-87.62717163562775,213.51059926429105,142.03000000000003,105
2021-03-23T11:05:36.000-05:00,41.88505828380585,-87.62718164920807,213.51731226759253,143.23000000000002,107
2021-03-23T11:05:37.000-05:00,41.88504993915558,-87.62719988822937,213.40127782691545,144.43,112
2021-03-23T11:05:38.000-05:00,41.88504493236542,-87.6272132396698,213.3723090617886,145.65,117
2021-03-23T11:05:39.000-05:00,41.885043263435364,-87.62723326683044,213.38465762434834,146.92000000000002,117
2021-03-23T11:05:40.000-05:00,41.88502657413483,-87.62724161148071,213.39538585019764,148.19000000000003,114
2021-03-23T11:05:41.000-05:00,41.885008215904236,-87.62725496292114,213.44481909921882,149.47000000000003,111
2021-03-23T11:05:42.000-05:00,41.88498497009277,-87.6272783279419,213.4900188228883,150.76,110
2021-03-23T11:05:43.000-05:00,41.88496160507202,-87.62728321552277,213.49091086471827,152.07000000000002,113
2021-03-23T11:05:44.000-05:00,41.88493990898132,-87.6272783279419,213.4907040360131,153.39000000000001,116
2021-03-23T11:05:45.000-05:00,41.88492488861084,-87.6272965669632,213.48954523520942,154.72000000000003,116
2021-03-23T11:05:46.000-05:00,41.884909987449646,-87.62732493877411,213.44735930244397,156.07000000000002,116
2021-03-23T11:05:47.000-05:00,41.884896636009216,-87.62732493877411,213.4073236129457,157.43,116
2021-03-23T11:05:48.000-05:00,41.88488328456879,-87.6273432970047,213.36952750429313,158.8,116
2021-03-23T11:05:49.000-05:00,41.884873270988464,-87.62732994556427,213.374239209599,160.17000000000002,114
2021-03-23T11:05:50.000-05:00,41.884864926338196,-87.62731993198395,213.33822361172741,161.56,110
2021-03-23T11:05:51.000-05:00,41.88485658168793,-87.62730991840363,213.34477258883112,162.94,108
2021-03-23T11:05:52.000-05:00,41.88485491275787,-87.62728822231293,213.31062641749372,164.32000000000002,107
2021-03-23T11:05:53.000-05:00,41.884846568107605,-87.62728822231293,213.2788437683539,165.70000000000002,107
2021-03-23T11:05:54.000-05:00,41.884838223457336,-87.62728321552277,213.2896204955856,167.07000000000002,108
2021-03-23T11:05:55.000-05:00,41.884833216667175,-87.62726998329163,213.21944662361798,168.43000000000004,108
2021-03-23T11:05:56.000-05:00,41.884833216667175,-87.6272599697113,213.19461056360348,169.78,109
2021-03-23T11:05:57.000-05:00,41.88481831550598,-87.62724661827087,213.21220223691284,171.1,109
2021-03-23T11:05:58.000-05:00,41.88480830192566,-87.62723660469055,213.30951173173548,172.42000000000002,109
2021-03-23T11:05:59.000-05:00,41.88479161262512,-87.6272382736206,213.40037199859873,173.73000000000002,108
2021-03-23T11:06:00.000-05:00,41.88476824760437,-87.62723660469055,213.44457577238268,175.04,108
2021-03-23T11:06:01.000-05:00,41.88474488258362,-87.6272566318512,213.4450266524572,176.37000000000003,108
2021-03-23T11:06:02.000-05:00,41.88472664356232,-87.62726998329163,213.48507591632819,177.72000000000003,109
2021-03-23T11:06:03.000-05:00,41.88470494747162,-87.6272999048233,213.4815430397667,179.08,110
2021-03-23T11:06:04.000-05:00,41.88467991352081,-87.62731659412384,213.47758234215365,180.46,109
2021-03-23T11:06:05.000-05:00,41.88466155529022,-87.6273432970047,213.5134987147399,181.87,106
2021-03-23T11:06:06.000-05:00,41.8846333026886,-87.62739324569702,213.54632492103403,183.35000000000002,104
2021-03-23T11:06:07.000-05:00,41.88460826873779,-87.62741160392761,213.53595124849568,184.8,104
2021-03-23T11:06:08.000-05:00,41.884578227996826,-87.62742161750793,213.64617996509836,186.27,104
2021-03-23T11:06:09.000-05:00,41.88454830646515,-87.62745332717896,213.62732349006842,187.77,104
2021-03-23T11:06:10.000-05:00,41.8845249414444,-87.62747657299042,213.4880679145355,189.3,103
2021-03-23T11:06:11.000-05:00,41.88450491428375,-87.6274915933609,213.3979213485966,190.85000000000002,103
2021-03-23T11:06:12.000-05:00,41.88448655605316,-87.62751829624176,213.23345004549213,192.42000000000002,104
2021-03-23T11:06:13.000-05:00,41.8844633102417,-87.62752664089203,213.12094685473443,194.02000000000004,105
2021-03-23T11:06:14.000-05:00,41.884441614151,-87.62753164768219,213.09765532374018,195.62,105
2021-03-23T11:06:15.000-05:00,41.88442325592041,-87.62754988670349,213.07727954795504,197.24000000000004,104
2021-03-23T11:06:16.000-05:00,41.884403228759766,-87.62755990028381,213.01941315273976,198.86,105
2021-03-23T11:06:17.000-05:00,41.88438665866852,-87.62758326530457,213.0473361406055,200.5,104
2021-03-23T11:06:18.000-05:00,41.88436663150787,-87.6275999546051,212.99430383655672,202.15000000000003,105
2021-03-23T11:06:19.000-05:00,41.884349942207336,-87.62760496139526,213.1070802054482,203.82000000000002,108
2021-03-23T11:06:20.000-05:00,41.88432991504669,-87.62761163711548,213.01219516156323,205.49,110
2021-03-23T11:06:21.000-05:00,41.88431656360626,-87.62762498855591,213.00521070059185,207.17000000000002,108
2021-03-23T11:06:22.000-05:00,41.88430655002594,-87.62762331962585,213.04006349947724,209.00000000000003,102
2021-03-23T11:06:23.000-05:00,41.8842933177948,-87.62762999534607,213.07353762790035,210.69000000000003,100
2021-03-23T11:06:24.000-05:00,41.88427495956421,-87.62763822078705,213.06529154299938,212.39000000000001,101
2021-03-23T11:06:25.000-05:00,41.88425660133362,-87.62764656543732,213.13870093324286,214.09000000000003,104
2021-03-23T11:06:26.000-05:00,41.88423824310303,-87.62765657901764,213.16735424959498,215.79000000000002,108
2021-03-23T11:06:27.000-05:00,41.88421821594238,-87.62766492366791,213.15404925781147,217.50000000000003,110
2021-03-23T11:06:28.000-05:00,41.884201645851135,-87.62767493724823,213.14181709604426,219.22000000000003,109
2021-03-23T11:06:29.000-05:00,41.88419163227081,-87.6276832818985,213.17084174371266,220.94000000000003,106
2021-03-23T11:06:30.000-05:00,41.884174942970276,-87.62769329547882,213.15782660125524,222.66000000000003,105
2021-03-23T11:06:31.000-05:00,41.88414990901947,-87.62770664691925,213.26644549947784,224.39000000000001,105
2021-03-23T11:06:32.000-05:00,41.88413155078888,-87.62771666049957,213.44794749219253,226.13000000000002,105
2021-03-23T11:06:33.000-05:00,41.88411831855774,-87.62772154808044,213.57607124682517,227.88000000000002,106
2021-03-23T11:06:37.000-05:00,41.884044885635376,-87.62775659561157,213.69339818719027,234.25,106
2021-03-23T11:06:38.000-05:00,41.88402998447418,-87.62776327133179,213.75585328563176,235.78000000000003,106
2021-03-23T11:06:39.000-05:00,41.88401663303375,-87.62777996063232,213.85251038043384,237.32000000000002,106
2021-03-23T11:06:40.000-05:00,41.88400328159332,-87.62778496742249,213.9405850105502,238.85,105
2021-03-23T11:06:41.000-05:00,41.88398325443268,-87.62778997421265,213.98017729770302,240.39000000000001,105
2021-03-23T11:06:46.000-05:00,41.883891633578706,-87.62781969138554,214.21340038458806,248.07000000000002,104
2021-03-23T11:06:48.000-05:00,41.88385498523712,-87.6278315782547,214.30668961934208,251.11,104
2021-03-23T11:06:49.000-05:00,41.88383162021637,-87.62784492969513,214.21916317735273,252.63000000000002,104
2021-03-23T11:06:50.000-05:00,41.88381326198578,-87.62786829471588,214.17562909949393,254.14000000000004,104
2021-03-23T11:06:52.000-05:00,41.88377332687378,-87.62789165973663,213.9372947132455,257.20000000000005,105
2021-03-23T11:06:53.000-05:00,41.88375496864319,-87.62789988517761,213.86917739494677,258.71,106
2021-03-23T11:06:55.000-05:00,41.883713245391846,-87.62790489196777,213.7865991770739,261.75000000000006,105
2021-03-23T11:06:57.000-05:00,41.883676648139954,-87.62789165973663,213.63567861129425,264.78000000000003,106
2021-03-23T11:06:58.000-05:00,41.88365161418915,-87.62790656089783,213.58966863837713,266.31000000000006,106
2021-03-23T11:06:59.000-05:00,41.88363492488861,-87.62791991233826,213.50761578956198,267.82,106
2021-03-23T11:07:00.000-05:00,41.88362491130829,-87.6279182434082,213.51283441610468,269.35,105
2021-03-23T11:07:01.000-05:00,41.88363492488861,-87.62788164615631,213.63965359061967,270.88,105
2021-03-23T11:07:02.000-05:00,41.88361155986786,-87.62790989875793,213.758734117188,272.43,106
2021-03-23T11:07:04.000-05:00,41.88357996940613,-87.62789165973663,213.93603797348038,275.55,105
2021-03-23T11:07:05.000-05:00,41.88355994224548,-87.6278783082962,213.99430046600105,277.07000000000005,105
2021-03-23T11:07:06.000-05:00,41.883546590805054,-87.62785995006561,214.00751319176788,278.6,106
2021-03-23T11:07:07.000-05:00,41.88354158401489,-87.62783658504486,214.0188680711675,280.13000000000005,106
2021-03-23T11:07:08.000-05:00,41.88353657722473,-87.62781155109406,214.06871595946077,281.65000000000003,106
2021-03-23T11:07:09.000-05:00,41.88353657722473,-87.62779498100281,214.03371932000974,283.17,107
2021-03-23T11:07:10.000-05:00,41.88353657722473,-87.62777161598206,214.0403525329278,284.64,111
2021-03-23T11:07:13.000-05:00,41.883519887924194,-87.6277265548706,214.1220739352718,288.97,115
2021-03-23T11:07:14.000-05:00,41.88351821899414,-87.62771499156952,214.15891385734912,290.40000000000003,114
2021-03-23T11:07:15.000-05:00,41.88351488113403,-87.62768495082855,214.11178498467243,291.83000000000004,114
2021-03-23T11:07:16.000-05:00,41.88351333141327,-87.62766993045807,214.06694765264098,293.28000000000003,115
2021-03-23T11:07:17.000-05:00,41.883504986763,-87.62766492366791,214.10494039054237,294.72,115
2021-03-23T11:07:18.000-05:00,41.88349497318268,-87.62764656543732,214.1799497618219,296.16,114
2021-03-23T11:07:19.000-05:00,41.88347327709198,-87.62762832641602,214.2892332175136,297.6,113
2021-03-23T11:07:20.000-05:00,41.88345992565155,-87.62760162353516,214.3094560502116,299.08000000000004,114
2021-03-23T11:07:21.000-05:00,41.8834365606308,-87.62758660316467,214.32692282971436,300.58000000000004,115
2021-03-23T11:07:22.000-05:00,41.88342332839966,-87.62755990028381,214.2614113213171,302.1,115
2021-03-23T11:07:23.000-05:00,41.883408308029175,-87.62753999233246,214.7621841264284,303.64000000000004,116
2021-03-23T11:07:24.000-05:00,41.883394956588745,-87.62753164768219,214.7441243959257,305.24,117
2021-03-23T11:07:29.000-05:00,41.88335886266496,-87.62750846809811,214.25427287429676,311.95,117
2021-03-23T11:07:33.000-05:00,41.88332998752594,-87.62748992443085,213.86239165699362,317.08000000000004,112
2021-03-23T11:07:34.000-05:00,41.88330829143524,-87.62750494480133,213.85789013008645,318.35,110
2021-03-23T11:07:35.000-05:00,41.8832882642746,-87.62750828266144,213.57378096584776,319.61,113
2021-03-23T11:07:36.000-05:00,41.88327491283417,-87.62750327587128,213.592682032139,320.90000000000003,114
2021-03-23T11:07:37.000-05:00,41.883264899253845,-87.62749993801117,213.49220515772208,322.19000000000005,114
2021-03-23T11:07:42.000-05:00,41.883211612701416,-87.62756162881851,213.37354489190267,328.58000000000004,111
2021-03-23T11:07:47.000-05:00,41.88315832614899,-87.62762331962585,213.25488462608325,335.07000000000005,114
2021-03-23T11:07:48.000-05:00,41.88314497470856,-87.62764322757721,213.20532887509086,336.37,116
2021-03-23T11:07:52.000-05:00,41.88311493396759,-87.62778162956238,213.27946123380153,341.52000000000004,114
2021-03-23T11:07:53.000-05:00,41.883094906806946,-87.62779831886292,213.35766379016482,342.79,113
2021-03-23T11:07:54.000-05:00,41.883076548576355,-87.62781322002411,213.47170076523966,344.07000000000005,112
2021-03-23T11:07:59.000-05:00,41.88297164440155,-87.62788331508636,213.8535705578969,350.49,111
2021-03-23T11:08:00.000-05:00,41.88295662403107,-87.6278966665268,213.81158387136247,351.78000000000003,110
2021-03-23T11:08:05.000-05:00,41.88290665547053,-87.62790073951085,213.66415643518454,359.15000000000003,112
2021-03-23T11:08:06.000-05:00,41.88289666175842,-87.62790155410767,213.63467094794896,360.6700000000001,110
2021-03-23T11:08:10.000-05:00,41.882856607437134,-87.62787663936615,213.7028022526955,366.6700000000001,107
2021-03-23T11:08:11.000-05:00,41.88284158706665,-87.62785494327545,213.70600167368664,368.1700000000001,104
2021-03-23T11:08:12.000-05:00,41.88282823562622,-87.62784492969513,213.7086336411577,369.66,105
2021-03-23T11:08:13.000-05:00,41.88281321525574,-87.6278532743454,213.75096004359307,371.15000000000003,106
2021-03-23T11:08:14.000-05:00,41.88279664516449,-87.62786829471588,213.78997801666395,372.57,107
2021-03-23T11:08:15.000-05:00,41.882776618003845,-87.62786328792572,213.8257605016649,373.96000000000004,107
2021-03-23T11:08:16.000-05:00,41.882758259773254,-87.62785828113556,213.89861250990998,375.31000000000006,107
2021-03-23T11:08:17.000-05:00,41.88274157047272,-87.62786495685577,213.8851699715715,376.65000000000003,106
2021-03-23T11:08:20.000-05:00,41.88265657424927,-87.62788665294647,214.0031074393747,380.63,109
2021-03-23T11:08:23.000-05:00,41.882476568222046,-87.62779831886292,214.04143871380805,384.58000000000004,110
2021-03-23T11:08:24.000-05:00,41.882436633110046,-87.62778997421265,214.13143981535396,386.01000000000005,110
2021-03-23T11:08:25.000-05:00,41.88240325450897,-87.62778496742249,214.09334295539472,387.52000000000004,110
